               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1028,            0.040341,            0.067032,                   0,                   0,                   0,                   0,             0.08659,            0.031708,            0.063647,            0.070769,           0.0032479,           0.0032479
                   1,            0.091668,            0.041386,            0.062051,                   0,                   0,                   0,                   0,            0.083877,            0.030388,            0.061434,            0.040726,           0.0065378,           0.0065378
                   2,            0.087734,            0.040921,            0.056896,            0.093101,            0.028158,           0.0025229,          0.00086982,            0.078956,            0.028803,            0.055746,            0.010638,           0.0097837,           0.0097837
                   3,            0.079952,            0.038536,            0.050898,             0.68339,            0.090481,             0.03343,            0.010957,            0.070161,            0.040838,            0.048804,            0.009802,            0.009802,            0.009802
                   4,            0.073349,            0.038444,            0.045889,             0.38071,             0.06908,           0.0082598,           0.0026162,             0.07344,            0.041436,              0.0467,            0.009802,            0.009802,            0.009802
                   5,            0.069153,             0.03788,            0.041268,             0.68239,             0.10959,            0.074512,            0.028086,            0.069634,            0.027848,            0.043956,            0.009736,            0.009736,            0.009736
                   6,            0.066192,            0.036012,            0.037457,             0.50751,             0.24037,             0.14475,            0.051797,             0.06187,            0.036057,            0.036631,             0.00967,             0.00967,             0.00967
                   7,            0.064293,            0.037017,            0.034491,             0.52592,             0.20924,             0.16006,             0.06632,            0.059693,            0.026532,            0.032265,            0.009604,            0.009604,            0.009604
                   8,            0.062452,            0.035329,            0.032187,             0.69307,             0.19801,             0.21274,            0.090287,            0.060443,            0.030025,            0.029908,            0.009538,            0.009538,            0.009538
                   9,            0.060672,             0.03563,            0.029631,             0.63832,             0.25085,             0.28725,             0.14172,            0.052925,            0.023279,            0.025119,            0.009472,            0.009472,            0.009472
                  10,            0.059801,            0.034553,              0.0268,             0.39429,             0.21078,             0.18737,            0.082914,            0.059393,            0.027899,            0.030727,            0.009406,            0.009406,            0.009406
                  11,            0.058688,            0.034278,            0.025168,             0.41842,             0.23903,             0.20034,             0.08289,            0.061875,            0.024484,            0.032677,             0.00934,             0.00934,             0.00934
                  12,            0.057089,            0.034587,            0.022774,             0.64629,             0.28269,             0.32955,             0.15301,            0.051236,            0.023828,            0.023269,            0.009274,            0.009274,            0.009274
                  13,            0.056519,            0.033801,            0.022069,             0.53278,             0.32371,             0.35874,             0.16023,            0.051885,             0.02479,            0.022239,            0.009208,            0.009208,            0.009208
                  14,            0.055276,            0.032994,            0.021472,             0.74942,             0.31855,             0.38562,             0.17723,            0.050203,              0.0263,            0.019541,            0.009142,            0.009142,            0.009142
                  15,            0.054333,            0.033824,            0.019726,             0.72934,             0.33476,              0.4043,             0.19692,            0.047751,            0.021606,            0.020484,            0.009076,            0.009076,            0.009076
                  16,            0.053607,            0.033294,            0.018834,             0.74144,             0.37539,             0.44932,             0.22317,            0.048215,            0.022733,            0.017233,             0.00901,             0.00901,             0.00901
                  17,            0.053175,            0.033352,            0.017455,             0.65171,             0.37234,             0.49717,             0.24691,            0.049253,            0.022988,            0.016058,            0.008944,            0.008944,            0.008944
                  18,            0.051915,            0.032051,             0.01633,             0.74173,             0.36845,             0.49586,             0.25465,            0.045518,            0.022271,            0.016307,            0.008878,            0.008878,            0.008878
                  19,            0.051247,            0.031611,            0.015844,             0.66658,             0.42061,             0.53323,             0.25723,            0.046411,            0.021576,            0.014035,            0.008812,            0.008812,            0.008812
                  20,               0.051,            0.030917,            0.014786,             0.60645,             0.44948,             0.51847,             0.25767,            0.045078,            0.020723,            0.013416,            0.008746,            0.008746,            0.008746
                  21,            0.050013,            0.031688,            0.013374,             0.54538,             0.41869,              0.4966,             0.25133,            0.048549,            0.020961,            0.017094,             0.00868,             0.00868,             0.00868
