               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083244,            0.032681,            0.064942,               0.503,             0.13994,            0.040945,            0.015518,            0.057094,            0.020647,            0.052444,            0.070323,           0.0032975,           0.0032975
                   1,            0.060247,            0.028824,            0.045414,             0.42023,             0.20753,            0.099747,            0.039121,            0.051457,            0.018328,            0.038296,             0.04029,            0.006598,            0.006598
                   2,             0.05664,            0.027133,            0.031728,             0.41993,             0.21498,             0.17172,            0.069807,            0.053934,            0.018658,            0.031368,            0.010224,           0.0098655,           0.0098655
                   3,            0.053769,            0.026729,            0.025635,             0.52179,             0.26213,             0.24362,             0.11221,            0.051534,             0.02495,            0.036988,           0.0098515,           0.0098515,           0.0098515
                   4,            0.050585,             0.02662,            0.020542,             0.43651,              0.2742,             0.24205,             0.11708,            0.049394,            0.019032,            0.029407,           0.0098515,           0.0098515,           0.0098515
                   5,            0.048458,            0.025681,            0.018182,             0.38363,             0.33134,             0.26152,             0.12303,             0.04947,            0.019356,            0.035414,            0.009802,            0.009802,            0.009802
                   6,            0.047113,            0.025408,            0.015558,             0.52094,             0.39186,             0.41045,             0.18576,            0.044212,            0.016655,            0.016727,           0.0097525,           0.0097525,           0.0097525
                   7,            0.045721,            0.024748,            0.014138,             0.40077,             0.33546,             0.36776,             0.18759,            0.048061,              0.0192,            0.025103,            0.009703,            0.009703,            0.009703
                   8,            0.045493,              0.0244,            0.013209,             0.44216,             0.50371,             0.51757,             0.26655,            0.041872,            0.016137,             0.01463,           0.0096535,           0.0096535,           0.0096535
                   9,            0.044188,             0.02457,            0.012051,             0.56018,              0.5553,             0.56418,             0.29893,            0.040177,              0.0156,            0.012517,            0.009604,            0.009604,            0.009604
                  10,            0.043249,            0.024318,            0.010842,             0.55805,             0.55436,             0.56036,             0.30606,            0.041482,            0.015633,            0.012549,           0.0095545,           0.0095545,           0.0095545
                  11,            0.042705,            0.023823,           0.0098056,             0.54686,             0.53925,             0.52582,              0.2964,            0.040066,            0.017239,            0.013622,            0.009505,            0.009505,            0.009505
                  12,            0.042675,            0.022993,            0.010244,             0.59254,             0.60161,             0.60521,             0.32081,            0.040058,            0.015047,            0.010144,           0.0094555,           0.0094555,           0.0094555
                  13,            0.041956,            0.023698,           0.0094133,             0.58054,             0.56842,             0.57925,             0.31668,            0.039355,            0.015833,            0.011182,            0.009406,            0.009406,            0.009406
                  14,             0.04141,            0.023308,           0.0088183,             0.59446,             0.60436,             0.61627,             0.33745,            0.038416,            0.014628,           0.0089656,           0.0093565,           0.0093565,           0.0093565
                  15,            0.040655,            0.023003,           0.0084883,             0.57642,             0.60097,             0.60641,             0.32318,            0.038316,            0.015428,           0.0090009,            0.009307,            0.009307,            0.009307
                  16,             0.04081,            0.022912,           0.0082547,             0.57778,             0.63891,             0.61843,             0.34977,            0.038094,            0.015046,            0.010126,           0.0092575,           0.0092575,           0.0092575
                  17,            0.039922,            0.022556,           0.0075036,             0.63881,             0.64437,             0.65535,             0.36609,            0.036498,             0.01417,           0.0085832,            0.009208,            0.009208,            0.009208
                  18,            0.039868,            0.022641,           0.0074519,             0.59366,             0.66035,             0.63266,             0.35599,            0.036576,            0.014258,           0.0082485,           0.0091585,           0.0091585,           0.0091585
                  19,            0.039484,             0.02223,           0.0068091,             0.62755,              0.6596,             0.68691,             0.38619,            0.036488,            0.014027,           0.0067254,            0.009109,            0.009109,            0.009109
                  20,            0.039511,            0.022294,           0.0070184,             0.62395,              0.6622,             0.66662,             0.39051,            0.036498,            0.014627,           0.0062338,           0.0090595,           0.0090595,           0.0090595
                  21,            0.039154,            0.022303,           0.0071158,             0.65845,             0.62382,             0.64768,             0.36922,            0.037642,            0.014389,           0.0079597,             0.00901,             0.00901,             0.00901
                  22,             0.03876,            0.022386,           0.0069832,             0.62331,             0.66794,             0.68559,             0.39441,            0.035668,            0.013949,           0.0075895,           0.0089605,           0.0089605,           0.0089605
